,Distance_Ville,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille
0,Paris,0,774987,466033,678897,932067,384535,490230,747998,590485,239818
1,Marseille,776442,0,314191,403677,204591,986092,799554,168944,645721,1002452
2,Lyon,464588,313764,0,537748,470845,684551,488664,303015,555450,690597
3,Toulouse,679215,403226,537330,0,560306,586014,970963,242302,245643,909552
4,Nice,933491,206569,471240,560726,0,1143141,784276,325993,802770,1159501
5,Nantes,384569,985758,686269,584967,1142839,0,865271,824835,353412,614906
6,Strasbourg,491678,798460,487680,968788,784927,865809,0,787711,968342,525123
7,Montpellier,747619,170462,304567,242629,327543,825044,789929,0,484673,992827
8,Bordeaux,584305,645467,557097,244676,802547,346917,968915,484543,0,814642
9,Lille,228177,999908,690955,897141,1156989,602779,524637,989159,808729,0
